DLTR_Date,DLTR_Close
2/21/2018 16:00:00,105.69
2/22/2018 16:00:00,107
2/23/2018 16:00:00,106.61
2/26/2018 16:00:00,106.22
2/27/2018 16:00:00,103.93
2/28/2018 16:00:00,102.64
3/1/2018 16:00:00,104.09
3/2/2018 16:00:00,104.41
3/5/2018 16:00:00,102.64
3/6/2018 16:00:00,104.36
3/7/2018 16:00:00,89.25
3/8/2018 16:00:00,91.32
3/9/2018 16:00:00,92.7
3/12/2018 16:00:00,94.29
3/13/2018 16:00:00,94.42
3/14/2018 16:00:00,92.81
3/15/2018 16:00:00,94.16
3/16/2018 16:00:00,95.75
3/19/2018 16:00:00,94.57
3/20/2018 16:00:00,94.94
3/21/2018 16:00:00,94.72
3/22/2018 16:00:00,93.54
3/23/2018 16:00:00,91.95
3/26/2018 16:00:00,95.21
3/27/2018 16:00:00,93.63
3/28/2018 16:00:00,93.91
3/29/2018 16:00:00,94.9
4/2/2018 16:00:00,94.4
4/3/2018 16:00:00,94.88
4/4/2018 16:00:00,97.56
4/5/2018 16:00:00,99
4/6/2018 16:00:00,98.72
4/9/2018 16:00:00,98.74
4/10/2018 16:00:00,99.07
4/11/2018 16:00:00,98.25
4/12/2018 16:00:00,98.1
4/13/2018 16:00:00,97.13
4/16/2018 16:00:00,97.55
4/17/2018 16:00:00,98.87
4/18/2018 16:00:00,100.52
4/19/2018 16:00:00,98.9
4/20/2018 16:00:00,97.56
4/23/2018 16:00:00,97.51
4/24/2018 16:00:00,96.52
4/25/2018 16:00:00,96.91
4/26/2018 16:00:00,96.93
4/27/2018 16:00:00,97.36
4/30/2018 16:00:00,95.89
5/1/2018 16:00:00,95.93
5/2/2018 16:00:00,96.21
5/3/2018 16:00:00,95.56
5/4/2018 16:00:00,93.61
5/7/2018 16:00:00,92.8
5/8/2018 16:00:00,93.68
5/9/2018 16:00:00,93.55
5/10/2018 16:00:00,92.62
5/11/2018 16:00:00,93.89
5/14/2018 16:00:00,94.86
5/15/2018 16:00:00,95.29
5/16/2018 16:00:00,94.49
5/17/2018 16:00:00,94.29
5/18/2018 16:00:00,93.1
5/21/2018 16:00:00,93.82
5/22/2018 16:00:00,93.59
5/23/2018 16:00:00,93.68
5/24/2018 16:00:00,94.65
5/25/2018 16:00:00,95.18
5/29/2018 16:00:00,94.9
5/30/2018 16:00:00,96.35
5/31/2018 16:00:00,82.59
6/1/2018 16:00:00,81.28
6/4/2018 16:00:00,81.21
6/5/2018 16:00:00,82.95
